Ticker,Sector_Coarse,Sector_Fine
GESHIP,SHIPPING,Marine Shipping
GICRE,FINANCIAL SERVICES,Insurance - Reinsurance
GLAND,PHARMA,Drug Manufacturers - Specialty & Generic
GLAXO,PHARMA,Drug Manufacturers - General
GLENMARK,PHARMA,Drug Manufacturers - Specialty & Generic
GMRINFRA,CONSTRUCTION,
GODFRYPHLP,Fast Moving Consumer Goods,Tobacco
GODREJAGRO,CONSUMER GOODS,Packaged Foods
GODREJCP,CONSUMER GOODS,Household & Personal Products
GODREJIND,CONSUMER GOODS,Conglomerates
GODREJPROP,CONSTRUCTION,Real Estate - Development
GPPL,SERVICES,Marine Shipping
GRAPHITE,INDUSTRIAL MANUFACTURING,Electrical Equipment & Parts
GRASIM,CEMENT & CEMENT PRODUCTS,Building Materials
GRUH,FINANCIAL SERVICES,
GSKCONS,CONSUMER GOODS,
GSPL,OIL & GAS,Utilities - Regulated Gas
GUJFLUORO,CHEMICALS - ORGANIC,
GUJGASLTD,OIL & GAS,Utilities - Regulated Gas
HAL,INDUSTRIAL MANUFACTURING,Aerospace & Defense
HAVELLS,CONSUMER GOODS,Electrical Equipment & Parts
HCLTECH,IT,Information Technology Services
HDFC,FINANCIAL SERVICES,
HDFCAMC,FINANCIAL SERVICES,Asset Management
HDFCBANK,FINANCIAL SERVICES,Banks - Regional
HDFCLIFE,FINANCIAL SERVICES,Insurance - Life
HDIL,CONSTRUCTION,Real Estate - Diversified
HEG,INDUSTRIAL MANUFACTURING,Electrical Equipment & Parts
HEROMOTOCO,AUTOMOBILE,Auto Manufacturers
HEXAWARE,IT,
HINDALCO,METALS,Aluminum
HINDCOPPER,METALS,Copper
HINDPETRO,OIL & GAS,Oil & Gas Refining & Marketing
HINDUNILVR,CONSUMER GOODS,Household & Personal Products
HINDZINC,METALS,Other Industrial Metals & Mining
HUDCO,FINANCIAL SERVICES,Credit Services
HYUNDAI,Automobile and Auto Components,Auto Manufacturers
IBREALEST,CONSTRUCTION,
IBULHSGFIN,FINANCIAL SERVICES,
IBVENTURES,FINANCIAL SERVICES,
ICICIBANK,FINANCIAL SERVICES,Banks - Regional
ICICIGI,FINANCIAL SERVICES,Insurance - Diversified
ICICIPRULI,FINANCIAL SERVICES,Insurance - Life
IDBI,BANKS,Banks - Regional
IDEA,TELECOM,Telecom Services
IDFC,FINANCIAL SERVICES,
IDFCBANK,FINANCIAL SERVICES,
IDFCFIRSTB,FINANCIAL SERVICES,Banks - Regional
IFCI,FINANCIAL INSTITUTION,Credit Services
IGL,OIL & GAS,Utilities - Regulated Gas
INDHOTEL,CONSUMER SERVICES,Lodging
INDIACEM,CEMENT AND CEMENT PRODUCTS,Building Materials
INDIAMART,CONSUMER SERVICES,Internet Content & Information
INDIANB,FINANCIAL SERVICES,Banks - Regional
INDIGO,SERVICES,Airlines
INDUSINDBK,FINANCIAL SERVICES,Banks - Regional
INDUSTOWER,TELECOM,Telecom Services
INFRATEL,TELECOM,
INFY,IT,Information Technology Services
INGVYSYABK,BANKS,
INOXWIND,ELECTRICAL EQUIPMENT,Specialty Industrial Machinery
IOB,BANKS,Banks - Regional
IOC,OIL & GAS,Oil & Gas Refining & Marketing
IPCALAB,PHARMA,Drug Manufacturers - Specialty & Generic
IRB,CONSTRUCTION,Infrastructure Operations
IRCTC,SERVICES,Travel Services
IREDA,Financial Services,Credit Services
IRFC,FINANCIAL SERVICES,Credit Services
ISEC,FINANCE,
ITC,CONSUMER GOODS,Tobacco
ITCHOTELS,Consumer Cyclical,Resorts & Casinos
J&KBANK,BANKS,Banks - Regional
JETAIRWAYS,TRAVEL AND TRANSPORT,Airlines
JINDALSTEL,METALS,Steel
JIOFIN,Financial Services,Asset Management
JISLJALEQS,PLASTIC AND PLASTIC PRODUCTS,Conglomerates
JKLAKSHMI,CEMENT AND CEMENT PRODUCTS,Building Materials
JPASSOCIAT,CONSTRUCTION,Conglomerates
JPPOWER,POWER,Utilities - Independent Power Producers
JSWENERGY,POWER,Utilities - Independent Power Producers
JSWINFRA,Industrials,Marine Shipping
JSWSTEEL,METALS,Steel
JUBILANT,PHARMA,
JUBLFOOD,CONSUMER SERVICES,Restaurants
JUSTDIAL,COMPUTERS - SOFTWARE,Internet Content & Information
KAJARIACER,CERAMICS AND SANITARYWARE,Building Products & Equipment
KALYANKJIL,Consumer Durables,Luxury Goods
KARURVYSYA,FINANCIAL SERVICES,Banks - Regional
KEI,Capital Goods,Electrical Equipment & Parts
KOTAKBANK,FINANCIAL SERVICES,Banks - Regional
KPIT,COMPUTERS - SOFTWARE,
KPITTECH,Information Technology,Software - Infrastructure
KSCL,FOOD AND FOOD PROCESSING,Agricultural Inputs
KTKBANK,BANKS,Banks - Regional
L&TFH,FINANCIAL SERVICES,
LALPATHLAB,HEALTHCARE SERVICES,Diagnostics & Research
LAURUSLABS,PHARMA,Drug Manufacturers - Specialty & Generic
LICHSGFIN,FINANCIAL SERVICES,Mortgage Finance
LICI,Financial Services,Insurance - Life
LINDEINDIA,Basic Materials,Specialty Chemicals
LODHA,Realty,Real Estate - Development
LT,CONSTRUCTION,Engineering & Construction
LTI,IT,
LTTS,IT,Information Technology Services
LUPIN,PHARMA,Drug Manufacturers - Specialty & Generic
M&M,AUTOMOBILE,Auto Manufacturers
M&MFIN,FINANCIAL SERVICES,Credit Services
MAHABANK,Financial Services,Banks - Regional
MANAPPURAM,FINANCIAL SERVICES,Credit Services
MARICO,CONSUMER GOODS,Household & Personal Products
MARUTI,AUTOMOBILE,Auto Manufacturers
MAX,FINANCE,
MAZDOCK,Capital Goods,Aerospace & Defense
MCDOWELL-N,CONSUMER GOODS,
MCLEODRUSS,TEA AND COFFEE,Packaged Foods
MFSL,FINANCIAL SERVICES,Insurance - Life
MGL,OIL & GAS,Utilities - Regulated Gas
MINDTREE,IT,
MMTC,TRADING,Conglomerates
MOTHERSON,Automobile and Auto Components,Auto Parts
MOTHERSUMI,AUTOMOBILE,
MOTILALOFS,Financial Services,Capital Markets
MPHASIS,IT,Information Technology Services
MRF,AUTOMOBILE,Auto Parts
MRPL,OIL & GAS,Oil & Gas Refining & Marketing
MSUMI,Consumer Cyclical,Auto Parts
MUTHOOTFIN,FINANCIAL SERVICES,Credit Services
NAM-INDIA,FINANCIAL SERVICES,Asset Management
NATCOPHARM,PHARMA,Drug Manufacturers - Specialty & Generic
NATIONALUM,METALS,Aluminum
NAUKRI,CONSUMER SERVICES,Internet Content & Information
NAVINFLUOR,CHEMICALS,Chemicals
NBCC,CONSTRUCTION,Engineering & Construction
NCC,CONSTRUCTION,Engineering & Construction
NESTLEIND,CONSUMER GOODS,Packaged Foods
NHPC,POWER,Utilities - Renewable
NIACL,FINANCIAL SERVICES,Insurance - Diversified
NIITTECH,IT,
NLCINDIA,Utilities,Utilities - Regulated Electric
NMDC,METALS,Steel
NTPC,POWER,Utilities - Regulated Electric
NTPCGREEN,Utilities,Utilities - Renewable
OBEROIRLTY,CONSTRUCTION,Real Estate - Development
OFSS,IT,Software - Infrastructure
OIL,OIL & GAS,Oil & Gas Integrated
OLAELEC,Consumer Cyclical,Auto Manufacturers
ONGC,OIL & GAS,Oil & Gas Integrated
ORIENTBANK,FINANCIAL SERVICES,
PAGEIND,TEXTILES,Apparel Manufacturing
PATANJALI,Fast Moving Consumer Goods,Packaged Foods
PCJEWELLER,CONSUMER GOODS,Luxury Goods
PEL,FINANCIAL SERVICES,
PERSISTENT,COMPUTERS - SOFTWARE,Information Technology Services
PETRONET,OIL & GAS,Oil & Gas Refining & Marketing
PFC,FINANCIAL SERVICES,Credit Services
PFIZER,PHARMA,Drug Manufacturers - General
PGHH,CONSUMER GOODS,Household & Personal Products
PHOENIXLTD,Realty,Real Estate - Diversified
PIDILITIND,CHEMICALS,Specialty Chemicals
PIIND,FERTILISERS & PESTICIDES,Agricultural Inputs
PIPAVAVDOC,SHIPPING,
PNB,FINANCIAL SERVICES,Banks - Regional
PNBHOUSING,FINANCIAL SERVICES,Mortgage Finance
POLYCAB,INDUSTRIAL MANUFACTURING,Electrical Equipment & Parts
POONAWALLA,Financial Services,Credit Services
POWERGRID,POWER,Utilities - Regulated Electric
POWERINDIA,Capital Goods,Electrical Equipment & Parts
PREMIERENE,Capital Goods,Solar
PRESTIGE,CONSTRUCTION,Real Estate - Diversified
PTC,POWER,Utilities - Independent Power Producers
QUESS,SERVICES,Staffing & Employment Services
RAJESHEXPO,CONSUMER GOODS,Luxury Goods
RALLIS,PESTICIDES AND AGROCHEMICALS,Agricultural Inputs
RAMCOCEM,CEMENT & CEMENT PRODUCTS,Building Materials
RAYMOND,TEXTILE PRODUCTS,Specialty Industrial Machinery
RBLBANK,FINANCIAL SERVICES,Banks - Regional
RCOM,TELECOM,Telecom Services
RECLTD,FINANCIAL SERVICES,Credit Services
REDINGTON,TRADING,Information Technology Services
RELCAPITAL,FINANCIAL SERVICES,
RELIANCE,OIL & GAS,Oil & Gas Refining & Marketing
RELINFRA,ENERGY,Utilities - Independent Power Producers
REPCOHOME,FINANCE - HOUSING,Mortgage Finance
RNAM,FINANCIAL SERVICES,
RPOWER,ENERGY,Utilities - Independent Power Producers
RVNL,Construction,Engineering & Construction
SADBHAV,CONSTRUCTION,Engineering & Construction
SAIL,METALS,Steel
SANOFI,PHARMA,Drug Manufacturers - General
SBICARD,FINANCIAL SERVICES,Credit Services
SBILIFE,FINANCIAL SERVICES,Insurance - Life
SBIN,FINANCIAL SERVICES,Banks - Regional
SHREECEM,CEMENT & CEMENT PRODUCTS,Building Materials
SIEMENS,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
SINTEX,PLASTIC AND PLASTIC PRODUCTS,
SJVN,Utilities,Utilities - Renewable
SKSMICRO,FINANCE,
SOBHA,CONSTRUCTION,Real Estate - Development
SOLARINDS,Chemicals,Specialty Chemicals
SONACOMS,AUTOMOBILE,Auto Parts
SOUTHBANK,BANKS,Banks - Regional
SPARC,PHARMA,Drug Manufacturers - Specialty & Generic
SRF,CHEMICALS,Conglomerates
SRTRANSFIN,FINANCIAL SERVICES,
SSLT,MINING,
STAR,PHARMA,Drug Manufacturers - Specialty & Generic
STRTECH,TELECOM,
SUNDARMFIN,Financial Services,Credit Services
SUNPHARMA,PHARMA,Drug Manufacturers - Specialty & Generic
SUNTV,"MEDIA, ENTERTAINMENT & PUBLICATION",Broadcasting
SUPREMEIND,Capital Goods,Building Products & Equipment
SUZLON,INDUSTRIAL MANUFACTURING,Specialty Industrial Machinery
SWIGGY,Consumer Services,Internet Retail
SYNDIBANK,FINANCIAL SERVICES,
SYNGENE,HEALTHCARE SERVICES,Diagnostics & Research
TATACHEM,CHEMICALS,Chemicals
TATACOMM,TELECOM,Telecom Services
TATACONSUM,CONSUMER GOODS,Packaged Foods
TATAELXSI,IT,Software - Application
TATAGLOBAL,CONSUMER GOODS,
TATAMOTORS,AUTOMOBILE,
TATAMTRDVR,DVR AUTOMOBILE,
TATAPOWER,POWER,Utilities - Independent Power Producers
TATASTEEL,METALS,Steel
TATATECH,Technology,Information Technology Services
TCS,IT,Information Technology Services
TECHM,IT,Information Technology Services
THERMAX,INDUSTRIAL MANUFACTURING,Conglomerates
TIINDIA,Automobile and Auto Components,Conglomerates
TITAN,CONSUMER GOODS,Luxury Goods
TORNTPHARM,PHARMA,Drug Manufacturers - Specialty & Generic
TORNTPOWER,POWER,Utilities - Independent Power Producers
TRENT,CONSUMER SERVICES,Apparel Retail
TTKPRESTIG,CONSUMER DURABLES,"Furnishings, Fixtures & Appliances"
TTML,Communication Services,Telecom Services
TV18BRDCST,MEDIA & ENTERTAINMENT,
TVSMOTOR,AUTOMOBILE,Auto Manufacturers
UBL,CONSUMER GOODS,Beverages - Brewers
UCOBANK,BANKS,Banks - Regional
ULTRACEMCO,CEMENT & CEMENT PRODUCTS,Building Materials
UNIONBANK,FINANCIAL SERVICES,Banks - Regional
UNITECH,CONSTRUCTION,Real Estate - Diversified
UPL,FERTILISERS & PESTICIDES,Agricultural Inputs
VAKRANGEE,IT,Information Technology Services
VARROC,AUTOMOBILE,Auto Parts
VBL,CONSUMER GOODS,Beverages - Non-Alcoholic
VEDL,METALS,Other Industrial Metals & Mining
VGUARD,CONSUMER GOODS,Electrical Equipment & Parts
VIDEOIND,CONSUMER DURABLES,
VMM,Consumer Services,Department Stores
VOLTAS,CONSUMER GOODS,"Furnishings, Fixtures & Appliances"
WAAREEENER,Capital Goods,Solar
WABAG,ENGINEERING,Engineering & Construction
WELSPUNIND,TEXTILES,
WHIRLPOOL,CONSUMER GOODS,"Furnishings, Fixtures & Appliances"
WIPRO,IT,Information Technology Services
WOCKPHARMA,PHARMA,Drug Manufacturers - Specialty & Generic
YESBANK,FINANCIAL SERVICES,Banks - Regional
ZEEL,"MEDIA, ENTERTAINMENT & PUBLICATION",Broadcasting
